2006,8,82.53,Wii Sports(Wii),Wii
2008,8.3,35.52,Mario Kart Wii(Wii),Wii
2009,8,32.77,Wii Sports Resort(Wii),Wii
2006,8.5,29.8,New Super Mario Bros.(DS),DS
2006,6.6,28.92,Wii Play(Wii),Wii
2009,8.4,28.32,New Super Mario Bros. Wii(Wii),Wii
2005,8.6,23.21,Mario Kart DS(DS),DS
2007,7.7,22.7,Wii Fit(Wii),Wii
2009,7.4,21.79,Wii Fit Plus(Wii),Wii
2005,7.9,20.15,Brain Age: Train Your Brain in Minutes a Day(DS),DS
2005,7.1,15.29,Brain Age 2: More Training in Minutes a Day(DS),DS
2008,8.9,12.84,Super Smash Bros. Brawl(Wii),Wii
2011,8.2,12.66,Mario Kart 7(3DS),3DS
2005,8.7,12.13,Animal Crossing: Wild World(DS),DS
2007,8.9,11.35,Super Mario Galaxy(Wii),Wii
2011,8.4,10.81,Super Mario 3D Land(3DS),3DS
2011,7.8,10.12,Just Dance 3(Wii),Wii
2012,7.2,9.9,New Super Mario Bros. 2(3DS),3DS
2010,7.3,9.44,Just Dance 2(Wii),Wii
2012,8.7,9.16,Animal Crossing: New Leaf(3DS),3DS
2007,7.8,8.91,Mario Party DS(DS),DS
2010,7.4,8.38,Wii Party(Wii),Wii
2007,6.3,8.27,Mario Party 8(Wii),Wii
2008,8.5,7.72,Pokémon Platinum Version(DS),DS
2010,9.1,7.51,Super Mario Galaxy 2(Wii),Wii
2009,8,7.2,Just Dance(Wii),Wii
2006,9,7.15,The Legend of Zelda: Twilight Princess(Wii),Wii
2014,9.1,7.09,Mario Kart 8(WiiU),WiiU
2001,9.1,7.07,Super Smash Bros. Melee(GC),GC
2012,7.3,6.76,Just Dance 4(Wii),Wii
2005,7.4,6.62,Big Brain Academy(DS),DS
2010,8.6,6.44,Donkey Kong Country Returns(Wii),Wii
2004,9,6.41,Pokémon Emerald Version(GBA),GBA
2002,8.6,6.31,Super Mario Sunshine(GC),GC
2009,8.8,5.78,Dragon Quest IX: Sentinels of the Starry Skies(DS),DS
2007,8.9,5.64,LEGO Star Wars: The Complete Saga(Wii),Wii
2006,7.2,5.63,Cooking Mama(DS),DS
2001,7.8,5.49,Super Mario Advance(GBA),GBA
2001,8.3,5.47,Mario Kart: Super Circuit(GBA),GBA
2012,8.1,5.22,New Super Mario Bros. U(WiiU),WiiU
2007,8.6,5.19,Professor Layton and the Curious Village(DS),DS
2007,8,5.08,The Legend of Zelda: Phantom Hourglass(DS),DS
2007,7.1,4.98,Link's Crossbow Training(Wii),Wii
2007,5.4,4.76,LEGO Star Wars: The Complete Saga(DS),DS
2008,7.6,4.62,Animal Crossing: City Folk(Wii),Wii
2002,8.9,4.6,The Legend of Zelda: The Wind Waker(GC),GC
2007,8.4,4.6,Guitar Hero III: Legends of Rock(Wii),Wii
2013,8.4,4.59,Luigi's Mansion: Dark Moon(3DS),3DS
2015,8.5,4.43,Splatoon(WiiU),WiiU
2012,7.9,4.42,Nintendo Land(WiiU),WiiU
2010,8.3,4.36,Michael Jackson: The Experience(Wii),Wii
2013,9,4.32,Super Mario 3D World(WiiU),WiiU
2001,7.3,4.24,Namco Museum(GBA),GBA
2007,6,4.05,Carnival Games(Wii),Wii
2011,8,3.95,The Legend of Zelda: Skyward Sword(Wii),Wii
2007,8.8,3.94,Professor Layton and the Diabolical Box(DS),DS
2009,8.7,3.9,EA Sports Active(Wii),Wii
2014,8.7,3.89,Monster Hunter 4 Ultimate(3DS),3DS
2007,4,3.83,Flash Focus: Vision Training in Minutes a Day(DS),DS
2007,6.9,3.79,Big Brain Academy: Wii Degree(Wii),Wii
2007,7.9,3.71,Super Paper Mario(Wii),Wii
2007,7.3,3.66,MySims(DS),DS
2008,7.6,3.62,Guitar Hero: World Tour(Wii),Wii
2001,8.5,3.6,Luigi's Mansion(GC),GC
2013,6.2,3.59,Just Dance 2014(Wii),Wii
2007,8,3.58,Cooking Mama 2: Dinner With Friends(DS),DS
2008,8.8,3.46,Guitar Hero: On Tour(DS),DS
2006,8.4,3.45,Clubhouse Games(DS),DS
2009,7.8,3.31,The Legend of Zelda: Spirit Tracks(DS),DS
2008,9.2,3.26,Professor Layton and the Unwound Future(DS),DS
2008,4.6,3.25,Wii Music(Wii),Wii
2015,8.7,3.21,Super Mario Maker(WiiU),WiiU
2001,8.9,3.15,Animal Crossing(GC),GC
2008,8,3.14,Club Penguin: Elite Penguin Force(DS),DS
2012,6.8,3.13,Mario Party 9(Wii),Wii
2005,8.5,3.12,Sonic Rush(DS),DS
2008,9,3.11,Rhythm Heaven(DS),DS
2006,7.8,3.11,Personal Trainer: Cooking(DS),DS
2013,8.9,3.1,The Legend of Zelda: A Link Between Worlds(3DS),3DS
2015,6.9,3.05,Animal Crossing: Happy Home Designer(3DS),3DS
2008,8,3.05,LEGO Batman: The Videogame(DS),DS
2010,7,3,Epic Mickey(Wii),Wii
2001,7.8,2.94,Pac-Man Collection(GBA),GBA
2008,8.8,2.92,Kirby Super Star Ultra(DS),DS
2007,5.3,2.89,Cooking Mama: Cook Off(Wii),Wii
2006,7.4,2.89,WarioWare: Smooth Moves(Wii),Wii
2007,7.7,2.87,Imagine: Babyz(DS),DS
2002,9.3,2.82,Metroid Prime(GC),GC
2003,7,2.82,Finding Nemo(GBA),GBA
2007,7.6,2.8,Imagine: Fashion Designer(DS),DS
2011,5.6,2.78,Skylanders: Spyro's Adventure(Wii),Wii
2006,7.4,2.76,Yoshi's Island DS(DS),DS
2007,6.6,2.73,Sonic and the Secret Rings(Wii),Wii
2002,9.1,2.7,The Legend of Zelda: A Link to the Past(GBA),GBA
2010,7.7,2.67,Mario vs. Donkey Kong: Mini-Land Mayhem!(DS),DS
2009,8.7,2.67,Professor Layton and the Last Specter(DS),DS
2006,6.7,2.65,Hannah Montana(DS),DS
2007,8,2.58,Mario Strikers Charged(Wii),Wii
2008,7.7,2.58,Style Savvy(DS),DS
2001,8.3,2.56,Sonic Adventure 2 Battle(GC),GC
2003,8,2.54,Pokémon Colosseum(GC),GC
2010,8,2.52,Art Academy(DS),DS
2012,7,2.52,Skylanders Giants(Wii),Wii
2008,5.4,2.5,Deca Sports(Wii),Wii
2007,4.3,2.48,Game Party(Wii),Wii
2002,7.4,2.47,Mario Party 4(GC),GC
2010,8,2.43,LEGO Harry Potter: Years 1-4(Wii),Wii
2015,9,2.34,The Legend of Zelda: Majora's Mask 3D(3DS),3DS
2008,8.6,2.32,My Fitness Coach(Wii),Wii
2012,5.6,2.3,Paper Mario: Sticker Star(3DS),3DS
2010,7.2,2.28,LEGO Harry Potter: Years 1-4(DS),DS
2008,8.2,2.28,Pokemon Ranger: Shadows of Almia(DS),DS
