2009,7.6,8.01,The Sims 3(PC),PC
2004,7.3,6.29,World of Warcraft(PC),PC
2012,4,5.14,Diablo III(PC),PC
2010,8.2,4.84,StarCraft II: Wings of Liberty(PC),PC
1997,9.1,4.12,Half-Life(PC),PC
2007,7.9,4.09,World of Warcraft: The Burning Crusade(PC),PC
2011,8.1,3.88,The Elder Scrolls V: Skyrim(PC),PC
2002,8,3.76,The Sims: Unleashed(PC),PC
2002,7.8,3.07,The Sims: Vacation(PC),PC
2014,3.9,3.05,The Sims 4(PC),PC
2000,6.6,2.99,The Sims: Livin Large(PC),PC
2011,5.9,2.96,Star Wars: The Old Republic(PC),PC
2011,7.5,2.78,Battlefield 3(PC),PC
1997,9,2.4,Theme Hospital(PC),PC
2004,9.1,2.37,Half-Life 2(PC),PC
2012,7.9,2.31,Guild Wars 2(PC),PC
1997,8.3,2.29,Tomb Raider II(PC),PC
2001,7.9,2.16,The Sims: House Party(PC),PC
2010,5.6,2.08,World of Warcraft: Cataclysm(PC),PC
1998,8.3,2.08,Sim Theme Park(PC),PC
2003,8.6,1.92,The Sims: Makin' Magic(PC),PC
2012,4.8,1.82,World of Warcraft: Mists of Pandaria(PC),PC
2001,7.9,1.82,The Sims: Hot Date(PC),PC
2011,2.5,1.72,Call of Duty: Modern Warfare 3(PC),PC
2010,5.3,1.7,The Sims 3: Late Night Expansion Pack(PC),PC
2010,7.9,1.68,Sid Meier's Civilization V(PC),PC
2003,8.2,1.68,The Sims: Superstar(PC),PC
2013,7.9,1.67,StarCraft II: Heart of the Swarm(PC),PC
1996,8.7,1.59,Diablo(PC),PC
2003,9,1.54,Warcraft III: The Frozen Throne(PC),PC
2012,4.2,1.53,Call of Duty: Black Ops II(PC),PC
2011,8,1.51,Football Manager 2012(PC),PC
2011,7,1.43,Anno 2070(PC),PC
2013,2.2,1.42,SimCity (2013)(PC),PC
2013,6,1.35,Battlefield 4(PC),PC
2008,7.5,1.32,World of Warcraft: Wrath of the Lich King(PC),PC
2015,5.4,1.29,Fallout 4(PC),PC
2005,6.6,1.27,The Sims 2: Nightlife(PC),PC
2010,8.4,1.26,Football Manager 2011(PC),PC
2002,8.5,1.25,RollerCoaster Tycoon 2(PC),PC
2015,7.9,1.17,Grand Theft Auto V(PC),PC
2010,8.6,1.17,Fallout: New Vegas(PC),PC
2008,5.3,1.17,Spore(PC),PC
2008,8.1,1.15,Worldwide Soccer Manager 2009(PC),PC
2012,6.7,1.15,Football Manager 2013(PC),PC
2007,8.5,1.15,Call of Duty 4: Modern Warfare(PC),PC
2007,8,1.12,Worldwide Soccer Manager 2008(PC),PC
2009,6.9,1.08,Empire: Total War(PC),PC
2001,9.1,1.06,Diablo II: Lord of Destruction(PC),PC
1996,8.5,1.03,Tomb Raider(PC),PC
2008,7.9,0.98,Fallout 3(PC),PC
2005,8.9,0.97,Grand Theft Auto: San Andreas(PC),PC
2012,5.5,0.97,Mass Effect 3(PC),PC
2012,8.2,0.96,Far Cry 3(PC),PC
2012,7.5,0.96,Farming Simulator 2013(PC),PC
2011,8.5,0.96,The Witcher 2: Assassins of Kings(PC),PC
2012,6.2,0.93,Assassin's Creed III(PC),PC
2012,8.2,0.93,Borderlands 2(PC),PC
2014,5.7,0.9,The Elder Scrolls Online(PC),PC
2009,4.2,0.88,Call of Duty: Modern Warfare 2(PC),PC
2008,6.6,0.88,Grand Theft Auto IV(PC),PC
2011,8.8,0.76,Portal 2(PC),PC
2011,7.4,0.74,Assassin's Creed: Revelations(PC),PC
2011,6.8,0.74,Crysis 2(PC),PC
2014,5.9,0.73,Dragon Age: Inquisition(PC),PC
2013,4.2,0.72,Total War: Rome II(PC),PC
2015,9.3,0.72,The Witcher 3: Wild Hunt(PC),PC
2010,8.3,0.72,Battlefield: Bad Company 2(PC),PC
2012,8.2,0.71,XCOM: Enemy Unknown(PC),PC
2007,8,0.71,Crysis(PC),PC
2011,6.1,0.69,The Sims: Medieval(PC),PC
2011,7.3,0.67,RIFT(PC),PC
2008,8.6,0.67,Mass Effect(PC),PC
2010,6.5,0.66,The Sims 3: High-End Loft Stuff(PC),PC
