Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Wii Sports,Wii,2006,Sports,Nintendo,82.53,8,,2006,8,82.53,Wii Sports,Wii,8
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.52,8.3,,2008,8.3,35.52,Mario Kart Wii,Wii,8.3
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.77,8,,2009,8,32.77,Wii Sports Resort,Wii,8
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.8,8.5,,2006,8.5,29.8,New Super Mario Bros.,DS,8.5
Wii Play,Wii,2006,Misc,Nintendo,28.92,6.6,,2006,6.6,28.92,Wii Play,Wii,6.6
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.32,8.4,,2009,8.4,28.32,New Super Mario Bros. Wii,Wii,8.4
Mario Kart DS,DS,2005,Racing,Nintendo,23.21,8.6,,2005,8.6,23.21,Mario Kart DS,DS,8.6
Wii Fit,Wii,2007,Sports,Nintendo,22.7,7.7,,2007,7.7,22.7,Wii Fit,Wii,7.7
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.81,6.3,,2010,6.3,21.81,Kinect Adventures!,X360,6.3
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,7.4,,2009,7.4,21.79,Wii Fit Plus,Wii,7.4
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.04,8.2,,2013,8.2,21.04,Grand Theft Auto V,PS3,8.2
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,9,,2004,9,20.81,Grand Theft Auto: San Andreas,PS2,9
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,7.9,,2005,7.9,20.15,Brain Age: Train Your Brain in Minutes a Day,DS,7.9
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.27,8.1,,2013,8.1,16.27,Grand Theft Auto V,X360,8.1
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,8.7,,2002,8.7,16.15,Grand Theft Auto: Vice City,PS2,8.7
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,7.1,,2005,7.1,15.29,Brain Age 2: More Training in Minutes a Day,DS,7.1
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,8.4,,2001,8.4,14.98,Gran Turismo 3: A-Spec,PS2,8.4
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.73,3.4,,2011,3.4,14.73,Call of Duty: Modern Warfare 3,X360,3.4
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.61,6.3,,2010,6.3,14.61,Call of Duty: Black Ops,X360,6.3
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,5.3,,2012,5.3,13.79,Call of Duty: Black Ops II,PS3,5.3
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.67,4.8,,2012,4.8,13.67,Call of Duty: Black Ops II,X360,4.8
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.47,6.3,,2009,6.3,13.47,Call of Duty: Modern Warfare 2,X360,6.3
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,3.2,,2011,3.2,13.32,Call of Duty: Modern Warfare 3,PS3,3.2
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,8.5,,2001,8.5,13.1,Grand Theft Auto III,PS2,8.5
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.84,8.9,,2008,8.9,12.84,Super Smash Bros. Brawl,Wii,8.9
Mario Kart 7,3DS,2011,Racing,Nintendo,12.66,8.2,,2011,8.2,12.66,Mario Kart 7,3DS,8.2
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.63,6.4,,2010,6.4,12.63,Call of Duty: Black Ops,PS3,6.4
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,12.61,8.3,,2014,8.3,12.61,Grand Theft Auto V,PS4,8.3
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,8.7,,2005,8.7,12.13,Animal Crossing: Wild World,DS,8.7
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,7.8,,2007,7.8,12.12,Halo 3,X360,7.8
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,8.5,,2004,8.5,11.66,Gran Turismo 4,PS2,8.5
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.35,8.9,,2007,8.9,11.35,Super Mario Galaxy,Wii,8.9
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,7.9,,2008,7.9,11.01,Grand Theft Auto IV,X360,7.9
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,8.7,,1997,8.7,10.95,Gran Turismo,PS,8.7
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.81,8.4,,2011,8.4,10.81,Super Mario 3D Land,3DS,8.4
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,7.5,,2010,7.5,10.7,Gran Turismo 5,PS3,7.5
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,6.3,,2009,6.3,10.6,Call of Duty: Modern Warfare 2,PS3,6.3
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.5,7.5,,2008,7.5,10.5,Grand Theft Auto IV,PS3,7.5
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.25,2.6,,2013,2.6,10.25,Call of Duty: Ghosts,X360,2.6
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,7.8,,2011,7.8,10.12,Just Dance 3,Wii,7.8
